,VSTOXX_ret,VIX_ret,RealizedVol_10d_ret,CAC40_ret,DAX_ret,STOXX600_ret,EUROSTOXX_Banks_ret,EUROPE_Financials_ret,Ukraine_z,guerre Russie_z,invasion Ukraine_z,OTAN_z,sanctions économiques_z,Israël_z,Palestine_z,Hamas_z,guerre Gaza_z,guerre mondiale_z,Chine Taïwan_z,conflit Chine USA_z,mer de Chine_z,Iran nucléaire_z,Iran Israël_z,attaques pétroliers_z,Corée du Nord_z,missile nucléaire_z,Kim Jong Un_z,tensions géopolitiques_z,GPR_Global_z,EPU_z,OAT_10Y_z,Bund_10Y_z,Infl_Exp_10Y_US_z,Spread_OAT_Bund_z,Technology,Health Care,Oil & Gas,Financials,Banks,Insurance,Consumer Discretionary,Consumer Staples,Industrials,Telecommunications,Utilities,Real Estate,Sentiment_Composite,VIX,RealizedVol_10d,VSTOXX,Delta_GPR_x,CAC40,DAX,STOXX600,EUROSTOXX_Banks,EUROPE_Financials,GPR_Global,Z_GPR,Delta_GPR_y,EPU,Bund_10Y,OAT_10Y,Delta_GPR,Infl_Exp_10Y_US
2010-06-04,,0.1010481403502221,-0.2969795605142495,-0.0170575830494819,-0.0012284824562733,0.0021288102345282,,,-0.350158995878948,-0.1036966681638957,-0.0983221643910135,-0.130016759261789,,-0.2261210430566075,-0.1022305770914085,0.0314393858434646,,-0.1388471984654808,-0.2690698449057268,-0.1036966681638957,0.0661742241401633,0.1528463922447998,-0.1398133604667485,,3.726534994483076,,-0.3104415009654712,,-0.1576888675685997,0.0974037834167747,1.161755214213739,1.268613945891649,-0.36259957106675,0.0096935197629114,0.0050162902395403,0.02213357005777,-0.0171330795380646,-0.034388394186386,0.0111681576194437,0.0003212148298154,-0.0259003617868168,0.0306323099771526,0.0195577034277965,-0.0085206971737219,0.0347811127415936,0.0072643430260945,-0.0117142217412097,35.47999954223633,0.2583971425088571,,7.579999999999998,3455.610107421875,5938.8798828125,244.52999877929688,,,97.81,0.1364259381911457,7.579999999999998,166.9016664102564,2.54318181818182,3.07,7.579999999999998,1.94
2010-06-11,,-0.2089410081150888,-0.313246546167683,0.0285023024686399,0.0181789992588843,0.0199606128287275,,,,,,,,,,,,,,,,,,,,,,,-0.1066209085053025,0.1093877560280858,,,-0.3335830290635766,,0.0476380569899592,0.012361361216706,-0.0111477339170839,0.0449282134410736,0.0332055737373708,-0.0003212148298154,0.0329779167503285,0.0130309560638185,0.0160757919106925,0.0489569301004446,0.0230636972067392,0.0137768224247969,-0.1977636258663054,28.790000915527344,0.1889063079995542,,3.1299999999999955,3555.52001953125,6047.830078125,249.4600067138672,,,100.94,0.181424606671185,3.1299999999999955,168.03339897435896,,,3.1299999999999955,1.95
2010-06-18,,-0.1840597807118364,-0.231335427476643,0.036368733004755,0.0275847122203138,0.0239238010325939,,,,,,,,,,,,,,,,,,,,,,,0.1882027401444685,0.1213717286393973,,,-0.2175168610508827,,0.0278396413364989,0.0141497873608778,-0.0016499938677572,0.0567699519944787,0.0223107824502191,0.0322198545269235,0.030167240151436,0.0025862683186313,0.0158211230115386,0.0212539724763176,0.0139528920794979,0.0333460550280337,-0.1977636258663054,23.950000762939453,0.1498921056782363,,18.070000000000007,3687.2099609375,6216.97998046875,255.5,,,119.01,0.599015070142161,18.070000000000007,169.16513153846154,,,18.070000000000007,1.99
2010-06-25,,0.1749878335804657,0.0027023989895313,-0.04648578733795,-0.023826792094125,-0.0284638954677145,,,,,,,,,,,,,,,,,,,,,,,-0.7780095715898666,0.1333557012507084,,,-0.4496491970762704,,-0.0266471819998556,-0.0380194349580821,-0.058480204786038,-0.0428879682519572,-0.0084411449832338,-0.0396308081844534,-0.0386659788013707,-0.008559653973164,-0.0065295343755797,-0.0566894579246122,-0.0158105960771327,-0.0232839396949321,-0.1977636258663054,28.530000686645508,0.1502977217745745,,-59.220000000000006,3519.72998046875,6070.60009765625,248.3300018310547,,,59.79,-1.0565865308133195,-59.220000000000006,170.2968641025641,,,-59.220000000000006,1.91
2010-07-02,,0.0542332415017883,0.3903061946477202,-0.0499105813145792,-0.0397288973370741,-0.0455597629698623,,,-0.350158995878948,-0.1036966681638957,-0.0983221643910135,-0.130016759261789,,-0.2261210430566075,-0.3521275433148516,-0.0963685522593154,,-3.384400462596098,-0.2690698449057268,-0.1036966681638957,-1.1712837672808911,0.1528463922447998,-0.1398133604667485,,-0.2784192811970115,,-0.3104415009654712,,-0.7088312500472529,0.1453396738620199,1.097850302796415,1.3321494444868305,-0.971946953133392,-0.6606109451189625,-0.0492474188671064,-0.0400467830507936,-0.0298528483200747,-0.0468719107688681,-0.0528672770129113,-0.0338793418403691,-0.081466042857647,-0.0290714849459332,-0.0392979905070185,-0.0511720734814925,-0.0428717356061387,-0.0433280397695666,-0.0117142217412097,30.1200008392334,0.2220548300174844,,4.240000000000002,3348.3701171875,5834.14990234375,237.2700042724609,,,64.03,-0.8676694582010932,4.240000000000002,171.42859666666666,2.6159090909090894,2.99,4.240000000000002,1.73
2010-07-09,,-0.1871139444224629,0.2089429094880779,0.0597350789473747,0.0388455858426723,0.0526220872284461,,,,,,,,,,,,,,,,,,,,,,,-0.6672263632704453,0.1573236464733313,,,-0.7398146171080043,,0.0512309821641668,0.0299302797825513,0.0605398391810146,0.0897598790208253,0.0394270043224878,0.0406480719778194,0.0648695273274856,0.0251569708120218,0.0500296632547472,0.0286642675375908,0.0378126185373774,0.0350488720699446,-0.1977636258663054,24.979999542236328,0.2736547411193006,,2.549999999999997,3554.47998046875,6065.240234375,250.08999633789065,,,66.58,-0.7636453528720362,2.549999999999997,172.56032923076924,,,2.549999999999997,1.81
2010-07-16,,0.0495905026654086,-0.235334233197596,-0.0154001175805706,-0.0041254353983362,-0.0079486397610537,,,,,,,,,,,,,,,,,,,,,,,-1.005123306465617,0.1693076190846424,,,-1.029980037139739,,0.0315997682473318,-0.0010172570654748,-0.0153983450696242,-0.0473284777368631,-0.0228095867020833,-0.0493846115867166,-0.0521639623856537,-0.0343165109983048,-0.0349143491889412,-0.0437205964600839,-0.0164183007793747,-0.0350488720699446,-0.1977636258663054,26.25,0.2162711641075199,,-20.71,3500.159912109375,6040.27001953125,248.1100006103516,,,45.87,-1.312109145283535,-20.71,173.6920617948718,,,-20.71,1.71
2010-07-23,,-0.1119430084310075,-0.0544502994547879,0.0300816206715541,0.0206567275330176,0.0311880562079265,,,,,,,,,,,,,,,,,,,,,,,-0.5500800546204531,0.1812915916959538,,,-0.8268642431175247,,0.0152444919194815,0.0131446375349954,0.0204787720362371,0.0454401636256987,0.0202290136319412,0.02893950910053,0.0942413839142744,-0.0188504043110163,0.0341517643261049,0.0488098259568313,0.0312569945540585,0.0480286208077029,-0.1977636258663054,23.46999931335449,0.204809997987817,,27.890000000000008,3607.050048828125,6166.33984375,255.97000122070312,,,73.76,-0.4643658555287898,27.890000000000008,174.82379435897437,,,27.890000000000008,1.78
2010-07-30,,0.0012774405434878,-0.4232462400123182,0.0099556403701352,-0.0029834627266307,-0.0024250778853005,,,,,,,,,,,,,,,,,,,,,,,-0.5301749715350784,0.193275564307265,,,-0.7688311591111778,,-0.0117942604577968,-0.0238894092094813,-0.0047415065273907,0.0488798000664814,-0.0167194591551546,0.0123817409896882,-0.0109556549304172,-0.0113720778974291,0.0140182618439834,-0.0098095534898908,-0.0269241632818275,0.0093349370535622,-0.1977636258663054,23.5,0.1341336203982794,,1.2199999999999989,3643.139892578125,6147.97021484375,255.3500061035156,,,74.98,-0.4101769304705077,1.2199999999999989,175.95552692307692,,,1.2199999999999989,1.8
2010-08-06,,-0.077846549985193,0.146533137060085,0.0198153716617266,0.0179990782384802,0.01307253323227,,,-0.350158995878948,-0.1036966681638957,-0.0983221643910135,-0.130016759261789,,-0.2261210430566075,-0.3521275433148516,-0.0963685522593154,,-0.1388471984654808,-0.2690698449057268,-0.1036966681638957,-1.1712837672808911,0.1528463922447998,-0.1398133604667485,,-0.2784192811970115,,-0.3104415009654712,,-0.6980629264109027,0.2052595369185764,0.8502187710542827,1.099847777748189,-0.7107980751048308,-0.8541214602783254,0.008764033733163,-0.0046403827313161,0.0340377815056145,0.0182836266685345,0.0382349313327106,0.0192441245829387,0.0313480250269557,0.0179690964065504,0.0108512770166202,0.0086373977456352,0.0032369189303614,-0.0017438405746833,-0.0117142217412097,21.739999771118164,0.1553016892331897,,-10.290000000000006,3716.050048828125,6259.6298828125,258.7099914550781,,,64.69,-0.6890771595190617,-10.290000000000006,177.0872594871795,2.35,2.68,-10.290000000000006,1.82
